,fully_covered_%_african_american_both,fully_covered_%_asian_both,fully_covered_%_white_both,fully_covered_%_total_both,date_saved
1,6.16387483242956,0.3275542785810452,12.825704794607562,14.728889921668308,2021-03-25
69,7.077964034250794,0.4100876401132771,15.447716391631394,17.368414706730228,2021-03-29
137,8.841982584751392,0.4358793155920995,19.02231117686906,20.83869970635207,2021-04-05
227,10.092722310117027,0.5364668499595071,21.643978798259205,23.52444380626471,2021-04-12
304,12.60174997886499,0.6783210650930307,25.9051489483289,27.98150204369753,2021-04-19
387,16.265655004166614,1.0626170297274853,30.841887242952744,33.71936508910828,2021-04-26
445,20.288100385261046,1.5268671883462894,38.4505136014845,41.97033487263748,2021-05-10
497,22.237050277170564,1.7099880842459287,41.64409804314555,45.35165225829765,2021-05-17
589,23.870484655982416,1.8002589484218074,43.98324701073708,47.89581545303515,2021-05-24
675,25.053290419197833,2.94025100458576,45.47426672420997,49.56400388607615,2021-05-31
743,26.540289368485887,7.278410820123697,47.22796916327239,51.83377415233229,2021-06-07
787,28.41300225842683,10.391466050417568,49.06181792498304,54.000875426706585,2021-06-14
831,29.81093223511793,12.570862628378066,50.42831845906254,55.530953970312225,2021-06-21
909,30.909197956546418,14.169946508065056,51.37711791530586,56.63007850706864,2021-06-28
989,31.858763783046097,15.503376130320179,52.137533382835244,57.5214901545552,2021-07-05
1028,35.015428557626116,16.357080588669202,54.12846435059464,60.12575672710254,2021-07-12
1153,35.513610946727695,17.056034994145293,54.418550468334296,60.534971214318425,2021-07-19
1215,36.035192811681014,17.920056122685843,54.7494550279377,61.00849083523966,2021-07-27
1265,36.600554341131144,18.69380638705052,55.1163623705333,61.47251083413624,2021-08-02
1323,37.04967331312424,19.297331593254963,55.41894626963011,61.854139880472836,2021-08-09
1381,37.462560838637216,19.831219275666587,55.741480755480566,62.242710958288995,2021-08-16
1472,37.99621985241724,20.32126110976421,56.13625012440452,62.71011063040588,2021-08-23
1562,38.644611780050965,20.953157158995364,56.56667830068699,63.237065625215806,2021-08-30
1630,38.644611780050965,20.953157158995364,56.56667830068699,63.237065625215806,2021-09-06
1643,39.7685414427362,22.260795105771663,57.41434892062739,64.27480798888983,2021-09-13
1728,40.538459680438635,26.400359020122664,57.94991898227241,64.93886810542097,2021-09-20
1799,41.02079081170517,27.04515090709323,58.24424746616083,65.39338848229289,2021-09-27
1867,41.02079081170517,27.04515090709323,58.24424746616083,65.39338848229289,2021-10-04
1954,41.670692382942235,28.386318031991998,58.306392397312955,66.1333542325018,2021-10-11
1994,42.06848347242183,29.002739075935853,58.3012327628077,66.49899833793152,2021-10-18
2075,42.45570705667806,29.63979346026277,58.29928356755016,66.82006729386096,2021-10-25
2133,38.774841891974866,27.402719174871077,54.6421745434019,62.72642017406205,2021-11-01
2211,39.0211288264871,27.927801218940456,54.795098284356605,62.92865913859854,2021-11-08
2302,39.445479167945855,28.54664791373652,55.021854680593286,63.27758535209633,2021-11-15
2355,39.81115727569809,29.12330051570558,55.22371401865348,63.66243671499069,2021-11-22
2417,40.05607973965902,29.744491326769808,55.3767450745141,63.93132067163816,2021-11-29
2467,40.46542090505332,30.71729957805907,55.918256089852626,64.5738773817478,2021-12-06
2552,41.03031171329744,32.23394280356306,56.751878279141096,65.54266175490515,2021-12-13
