B01001_001E,B01001B_001E,B01001_003E,B01001_004E,B01001_027E,B01001_028E,B01001B_003E,B01001B_004E,B01001B_018E,B01001B_019E,B01001_001M,B01001B_001M,B01001_003M,B01001_004M,B01001_027M,B01001_028M,B01001B_003M,B01001B_004M,B01001B_018M,B01001B_019M,state,zip code tabulation area
5484.0,0.0,205.0,123.0,193.0,261.0,0.0,0.0,0.0,0.0,420.0,15.0,86.0,85.0,89.0,97.0,15.0,15.0,15.0,15.0,42,15320
1539.0,0.0,50.0,36.0,30.0,30.0,0.0,0.0,0.0,0.0,242.0,10.0,42.0,39.0,27.0,27.0,10.0,10.0,10.0,10.0,42,15321
471.0,0.0,11.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,326.0,10.0,19.0,10.0,157.0,10.0,10.0,10.0,10.0,10.0,42,15325
135.0,0.0,14.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,52.0,10.0,14.0,7.0,5.0,10.0,10.0,10.0,10.0,10.0,42,15334
285.0,0.0,0.0,7.0,32.0,21.0,0.0,0.0,0.0,0.0,138.0,10.0,10.0,10.0,52.0,24.0,10.0,10.0,10.0,10.0,42,15348
17803.0,82.0,354.0,401.0,404.0,499.0,0.0,0.0,0.0,8.0,233.0,54.0,68.0,100.0,75.0,103.0,16.0,16.0,16.0,11.0,42,16365
10648.0,94.0,396.0,313.0,169.0,163.0,0.0,0.0,0.0,0.0,363.0,133.0,131.0,104.0,73.0,83.0,16.0,16.0,16.0,16.0,42,16412
4712.0,21.0,108.0,82.0,116.0,99.0,0.0,0.0,0.0,0.0,278.0,21.0,36.0,29.0,51.0,40.0,10.0,10.0,10.0,10.0,42,16424
12628.0,207.0,328.0,438.0,240.0,358.0,13.0,0.0,36.0,17.0,257.0,109.0,106.0,131.0,85.0,106.0,19.0,16.0,44.0,28.0,42,16428
16785.0,5280.0,748.0,806.0,566.0,732.0,204.0,212.0,203.0,184.0,850.0,478.0,198.0,188.0,126.0,162.0,91.0,78.0,81.0,83.0,42,16503
671.0,3.0,38.0,40.0,30.0,28.0,0.0,0.0,0.0,0.0,237.0,5.0,39.0,24.0,23.0,21.0,10.0,10.0,10.0,10.0,42,16832
950.0,70.0,29.0,22.0,17.0,11.0,0.0,0.0,0.0,0.0,139.0,37.0,11.0,13.0,8.0,6.0,10.0,10.0,10.0,10.0,42,16845
180.0,0.0,30.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,93.0,10.0,37.0,6.0,12.0,10.0,10.0,10.0,10.0,10.0,42,16853
2050.0,5.0,64.0,84.0,49.0,33.0,0.0,0.0,0.0,0.0,214.0,5.0,25.0,32.0,26.0,14.0,10.0,10.0,10.0,10.0,42,16914
2369.0,0.0,69.0,66.0,44.0,42.0,0.0,0.0,0.0,0.0,162.0,10.0,27.0,24.0,16.0,15.0,10.0,10.0,10.0,10.0,42,16153
83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15921
227.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15922
99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15945
481.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15951
162.0,0.0,0.0,12.0,0.0,15.0,0.0,0.0,0.0,0.0,124.0,10.0,10.0,20.0,10.0,25.0,10.0,10.0,10.0,10.0,42,15953
474.0,0.0,12.0,33.0,0.0,13.0,0.0,0.0,0.0,0.0,136.0,10.0,14.0,33.0,10.0,14.0,10.0,10.0,10.0,10.0,42,15960
172.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,62.0,10.0,10.0,9.0,4.0,3.0,10.0,10.0,10.0,10.0,42,15962
100.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15353
1625.0,0.0,62.0,57.0,28.0,36.0,0.0,0.0,0.0,0.0,200.0,10.0,49.0,53.0,17.0,28.0,10.0,10.0,10.0,10.0,42,15376
9272.0,80.0,161.0,282.0,131.0,238.0,0.0,20.0,0.0,0.0,455.0,66.0,60.0,110.0,61.0,90.0,15.0,27.0,15.0,15.0,42,15005
849.0,73.0,23.0,26.0,26.0,14.0,12.0,12.0,0.0,0.0,253.0,69.0,27.0,29.0,27.0,22.0,21.0,20.0,10.0,10.0,42,15018
10557.0,75.0,185.0,267.0,178.0,268.0,0.0,4.0,6.0,3.0,504.0,46.0,81.0,90.0,74.0,89.0,16.0,5.0,7.0,5.0,42,15037
8434.0,50.0,362.0,194.0,199.0,161.0,0.0,0.0,0.0,0.0,507.0,49.0,136.0,71.0,75.0,66.0,15.0,15.0,15.0,15.0,42,15042
4250.0,685.0,96.0,202.0,104.0,155.0,0.0,62.0,14.0,46.0,469.0,357.0,76.0,114.0,74.0,99.0,10.0,96.0,23.0,71.0,42,15059
7952.0,658.0,163.0,200.0,145.0,153.0,4.0,0.0,0.0,15.0,318.0,120.0,61.0,91.0,65.0,59.0,6.0,15.0,15.0,17.0,42,15074
